"screen_name","text","is_retweet","mentions_screen_name","retweet_screen_name","retweet_verified","followers_count","verified","is_quote","quoted_name"
"AndyVVPhillips","Activists Try To Stop Seattle TV Station From Broadcasting Info About Riot Arrests - The Police Tribune https://t.co/A6x7r3LOjj

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","City Covering Damage After Attempted Murder Suspect Lists Other Family's Home As His Address - The Police Tribune https://t.co/ITvB28skXq

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Rioter Facing Federal Charges For Attacking Federally-Deputized Portland Police Officer - The Police Tribune https://t.co/J2PTlNWTBn

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","VIDEO: Sheriff Offers To Help Celebs Pack, Leave Country If Trump Wins - The Police Tribune https://t.co/9K5o4qWpet

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","#BREAKING: Two New Orleans Officers Ambushed At Stop Sign, One Shot In Face - The Police Tribune https://t.co/NFGX4afmZV

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Newlyweds And Wedding Party Called For Riot Duty Just After Saying 'I Do' - The Police Tribune https://t.co/mc2dHAhHKd

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Walter Wallace's Family Says Officers Shouldn't Be Charged With Murder - The Police Tribune https://t.co/lkEXEyldGi

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Over Half Of Portland Police Employees Earned Over $100K With Overtime Amid Riots - The Police Tribune https://t.co/tVZiWb0JbI

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Cop Sues Breonna Taylor's Boyfriend For Shooting Him - The Police Tribune https://t.co/NNNQoHtNPA

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Hero Down: Manchester Police Sgt. Stephen Bresciano Succumbs To Cancer - The Police Tribune https://t.co/6DjG9CJHFx

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","School Blames Officer For Sparking Scare With Unsanctioned Security Test, Cop Says Otherwise - The Police Tribune https://t.co/nGLHm1X1fK

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Four Rioters Federally Indicted For Torching Patrol Cars In Philadelphia - The Police Tribune https://t.co/j40jzX2Naw

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","VIDEO: Bodycam Captures Moment Suspect On Moped Crashes Into SUV, Sparking Riots - The Police Tribune https://t.co/PHhAiggdt1

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Student Teacher Gets 4 Years In Prison For Sending Nudes To 13-Year-Old Boys - The Police Tribune https://t.co/h4DZ7yuZTW

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Rioters Blow Up At Least 17 ATMs Throughout Philadelphia - The Police Tribune https://t.co/j6DHtKUWYz

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","VIDEO: Driver Tried To Run Over Cops Twice Before Being Shot - The Police Tribune https://t.co/VjlzXSkdvH

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Twitter Suspends CBP Commissioner For Tweeting About Success Of Border Wall - The Police Tribune https://t.co/NN6FP6iIvE

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"AndyVVPhillips","Judge Tosses Michigan's Sudden Ban On Openly Carrying Guns On Election Day - The Police Tribune https://t.co/2cd540E8R3

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #PoliceTribune #law",TRUE,"bluelivesmtr","bluelivesmtr",TRUE,533,FALSE,FALSE,
"gia5919","Excited to share the latest addition to my #etsy shop: Thin Red Blue, Police Fire Fighter Back the Blue, Black - Fitted Polyester Face Mask Covering https://t.co/J5eTIyD2n8 #ladygia5919  #bluelivesmatter #policelivesmatter https://t.co/P5qXE8QAcA",FALSE,,,,12,FALSE,FALSE,
"LaneRiddle9","No, Mr. President. America will be THANKING YOU from the bottom of OUR HEARTS for generations to come!  @realDonaldTrump 

#Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide  #PoliceLivesMatter #BlueLivesMatter  #TrumpTrain #TrumpTrain2020 #RedPill https://t.co/E8lfrKQjNO",TRUE,"USAPhysique realDonaldTrump","USAPhysique",FALSE,0,FALSE,FALSE,
"USAPhysique","That @realDonaldTrump!  Gotta love em!!!  #Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide  #PoliceLivesMatter #BlueLivesMatter  #TrumpTrain #TrumpTrain2020 #RedPill https://t.co/ES01wxq3DH",FALSE,"realDonaldTrump",,,13104,FALSE,TRUE,"Jack Posobiec VOTE <U+0001F1FA><U+0001F1F8>"
"USAPhysique","Looks like #FakeNews thinks a “Shy Biden Voters” deliver a “Blue Wave” on Election Day for a @JoeBiden win.  Is the real or fantasy?  #Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide #BlueLivesMatter  #TrumpTrain #RedPill

https://t.co/Aw47YukhUM",FALSE,"JoeBiden",,,13104,FALSE,FALSE,
"USAPhysique","Love @kimKBaltimore If you are in her district...get your ass out an vote for her!  #Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide  #PoliceLivesMatter #BlueLivesMatter  #TrumpTrain #TrumpTrain2020 #RedPilled https://t.co/x4sySeKcug",FALSE,"kimKBaltimore",,,13104,FALSE,TRUE,"Kimberly Klacik"
"USAPhysique","No, Mr. President. America will be THANKING YOU from the bottom of OUR HEARTS for generations to come!  @realDonaldTrump 

#Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide  #PoliceLivesMatter #BlueLivesMatter  #TrumpTrain #TrumpTrain2020 #RedPill https://t.co/E8lfrKQjNO",FALSE,"realDonaldTrump",,,13104,FALSE,TRUE,"Donald J. Trump"
"USAPhysique","@JoeBiden just said “in 8 years, we didn’t have a single controversy.”

Uh, #Benghazi anyone for starters?

#Trump2020 #MAGA #MAGA2020 #CrookedJoeBiden #BlacksForTrump #Trump2020Landslide  #PoliceLivesMatter #BlueLivesMatter  #TrumpTrain #TrumpTrain2020 #RedPill",FALSE,"JoeBiden",,,13104,FALSE,FALSE,
"fritofries","I ain’t ever seen 1 pretty #bluelivesmatter supporter. It’s always all of em gotta be ugly",TRUE,"lil_khaki12","lil_khaki12",FALSE,172,FALSE,FALSE,
"selwyn_art","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,67,FALSE,FALSE,
"Hamzikji","Let me guess, #BlueLIvesMatter crowd, she “should’ve complied?

He “feared for his life?”

She “posed a threat?”

Which excuse applied to this act of terrorism?

#DefundThePolice
#StopPoliceBrutality
#ThereAreNoBlueLives https://t.co/FsvZaGrBtw",TRUE,"TalbertSwan","TalbertSwan",TRUE,403,FALSE,FALSE,
"megatwingo","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,2673,FALSE,FALSE,
"Carlos88878808","Sone idiot runs from the police on a moped, hits a vehicle killing himself 

Now they are looting and protesting in DC.  

A special jail needs to be designed for these urban terrorist. 
#BackTheBlue #BlueLivesMatter",TRUE,"Dachief_Paul","Dachief_Paul",FALSE,0,FALSE,FALSE,
"Carlos88878808","@Eric_Conn Exactly, so many people are in denial that black lives matter are protesting for the right to be stupid and for the right to not be held accountable for their own actions

Also

#BlueLivesMatter 

Trump can go to hell
Biden can go to hell

#stopthespreadofcovid",FALSE,"Eric_Conn",,,0,FALSE,FALSE,
"Carlos88878808","Praying for our officers in Philly tonight. May God be with you and protect you. We love you. #BlueLivesMatter",TRUE,"TomiLahren","TomiLahren",TRUE,0,FALSE,FALSE,
"Carlos88878808","#BlueLivesMatter 

1: black lives matter and black lives matter movement are nowhere near close to being the same thing

2: being blue lives matter movement does not equal being a trump supporter

3: some people’s ideas on why blue lives matter is the wrong is laughable",FALSE,,,,0,FALSE,FALSE,
"Carlos88878808","Prayers <U+0001F499><U+0001F64F><U+0001F3FC> #BlueLivesMatter 

New Orleans police officers ambushed, 1 shot in French Quarter by pedicab passenger: Police

https://t.co/RfFjtRb1n9",TRUE,"bigricanman","bigricanman",FALSE,0,FALSE,FALSE,
"Carlos88878808","Especially today brothers and sisters stay safe #BackTheBlue #BlueLivesMatter #Police #cops https://t.co/pMovXTWniX",TRUE,"london_ont_born","london_ont_born",FALSE,0,FALSE,FALSE,
"Carlos88878808","people will riot if trump wins...

people will riot if biden wins...

#BlueLivesMatter 

Trump can go to hell
Biden can go to hell

#stopthespreadofcovid",FALSE,,,,0,FALSE,FALSE,
"Carlos88878808","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,0,FALSE,FALSE,
"ourcomputer1","Y’all real selective about when #BlueLivesMatter

 https://t.co/cSH1QQc1tA",TRUE,"TalbertSwan","TalbertSwan",TRUE,124,FALSE,FALSE,
"Shirley70974074","#ElectionDay #Election2020 
#Trump2020LandslideVictory 
<U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>
#4MoreYears 
#BlueLivesMatter
#BlackLivesMatte
#AllLivesMatter
#JobsMatter
#YouMatter
#UnbornLivesMatter
#EconomyMatters
#DoctorsMatter
#YourVoteMatters  
#RedWave
#RedWave2020 
RED WAVE IS COMING!! https://t.co/6r9g3RBmys",TRUE,"PJStrikeForce","PJStrikeForce",FALSE,258,FALSE,FALSE,
"pansensmoothie","If I have one art which characterizes presidential US election, I would love this one. #BlueLivesMatter #BlueWave2020 https://t.co/vGSQUAfQLd https://t.co/VGOHwuCJ6n",TRUE,"Bazevian","Bazevian",FALSE,757,FALSE,FALSE,
"jacob_lenhart1","“White silence is violence”

We’ve reached the point of retardedness in this country, that if a white person literally sits and does nothing, they’re a terrible person.

#MAGA #KAG #BlueLivesMatter",FALSE,,,,2,FALSE,FALSE,
"k9_keno","@GilmartinSean @kayleighmcenany @PressSec @RyannMcEnany Kayleigh wearing the COPS FOR TRUMP HAT!!!!! Love it!!! #BlueLivesMatter",FALSE,"GilmartinSean kayleighmcenany PressSec RyannMcEnany",,,3559,FALSE,FALSE,
"Roxiemomof4","Yes!  ENOUGH is ENOUGH!! #BlueLivesMatter #SupportTheBlue https://t.co/WhnbcpNbw6",FALSE,,,,124,FALSE,TRUE,"Sal LaBarbera"
"Roxiemomof4","You have a tough job. Your officers have a tough job as well. Especially since they are the ones on the streets. You are right to protect and defend them. I pray for all of your safety. #BlueLivesMatter  #supportthepolice #nodefundingthepolice https://t.co/3f4L7gia5v",FALSE,,,,124,FALSE,TRUE,"Chief Michel Moore"
"layloserr","I ain’t ever seen 1 pretty #bluelivesmatter supporter. It’s always all of em gotta be ugly",TRUE,"lil_khaki12","lil_khaki12",FALSE,1632,FALSE,FALSE,
"BtltShow","Police Unions: A Socialist Haven #Republicans dangerous disconnect when it comes to these government workers. #TRUMP2020Landside #Elections2020 #BlueLivesMatter #BlackLivesMatter #Unions 
YouTube: https://t.co/dzUhqTR4MF https://t.co/QDEEYcxBDc",FALSE,,,,720,FALSE,FALSE,
"IanLingenfelter","@JoeBiden We'll bring it back closer to having the personal liberties we were meant to have

@realDonaldTrump 
#TRUMP2020Landside 
#Truininanashabadeprizure 
#badakathcare 
#CCPCorruption 
#BlueLivesMatter 
#DownWithSocialists 
#AmericanPride 
#Freedom 
#AmericanPatriots 

GTFOH Biden",FALSE,"JoeBiden realDonaldTrump",,,25,FALSE,FALSE,
"Cdelga84","I ain’t ever seen 1 pretty #bluelivesmatter supporter. It’s always all of em gotta be ugly",TRUE,"lil_khaki12","lil_khaki12",FALSE,336,FALSE,FALSE,
"lil_khaki12","I ain’t ever seen 1 pretty #bluelivesmatter supporter. It’s always all of em gotta be ugly",FALSE,,,,22,FALSE,FALSE,
"LynnMitch007","Rest In Peace Sgt Conley Jumper of the Greenville County, SC Sheriff’s Office, who was killed on 10/20/20 when a suspect attempted to flee during a traffic stop. He was a 28 year veteran &amp; leaves behind a wife &amp; daughter. Please retweet to honor him <U+0001F61E><U+0001F64F><U+0001F3FC> #BlueLivesMatter https://t.co/ZQ96v62pHz",TRUE,"bigricanman","bigricanman",FALSE,974,FALSE,FALSE,
"spiritofshiloh","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,3990,FALSE,FALSE,
"Gam_3339","@JackPosobiec Prayers for the families #weStandwithPolice #BlueLivesMatter #VoteRedtoenddread",FALSE,"JackPosobiec",,,191,FALSE,FALSE,
"Gam_3339","@RealJamesWoods Such Awesome people .. #BlueLivesMatter",FALSE,"RealJamesWoods",,,191,FALSE,FALSE,
"GeorgeFenimore","I’m black. I’m a cop. I’ve also had hours of de-escalation training. 

With that said:

No matter your color, mental status, prior condition, or mood, if you run at me with a knife, I will shoot you. Many times. 

The end. 

#Philadelphia #phillyriots #BlueLivesMatter",TRUE,"CopWithAttitude","CopWithAttitude",FALSE,27,FALSE,FALSE,
"drmounza","#BlueLivesMatter #Nazi style https://t.co/a9REzhJkfc",FALSE,,,,281,FALSE,TRUE,"The Washington Post"
"robbinpink","BREAKING:

“Protestors” blocked the ER entrance for 2 LA Officers who were critically shot by a coward....

They were chanting “we hope they die” while attempting to prevent them from getting life saving treatment?!

This is EVIL! This MUST BE ENDED!

RT! 

#BlueLivesMatter",TRUE,"GrahamAllen_1","GrahamAllen_1",TRUE,194,FALSE,FALSE,
"Exo_R6","@QuickFixR6 @realDonaldTrump He lost a town with 5 people man. #BlueWave #BlueTsunami #BlueLivesMatter",FALSE,"QuickFixR6 realDonaldTrump",,,1485,FALSE,FALSE,
"madeo_g","@Gunny_Q And this is why you don't defund our police.  

Finally CNN had someone that made sense on their show.

#BlueLivesMatter
#AllLivesMatter https://t.co/4FEKlsvHwL",TRUE,"staygoya Gunny_Q","staygoya",FALSE,4,FALSE,FALSE,
"AgholorPooch","@TeamJoe Your basement looks like the set of Rocky !!

#BlueWave2020 
#TRUMP2020Landside 
#BlueLivesMatter",FALSE,"TeamJoe",,,48,FALSE,FALSE,
"TwinPhantomBase","@balleralert Doesn’t surprise me this is what Trump supports. Him and his son Jr. encourage violence, encourage division, and the #CorruptPolice. This is what #BlueLivesMatter is for. They’re the #RadicalRight...",FALSE,"balleralert",,,0,FALSE,FALSE,
"eatmytimeass","Just got off work.  If you look at my previous Tweet you can see the FB pic of me in all blue.  No I did not plan that for #BlueLivesMatter but it seems God keeps putting me into this role whether I want it or not.  So, anyway, usually after work I go to Speedway gas station...",FALSE,,,,1906,FALSE,FALSE,
"nana92879816","#ElectionDay #Election2020 
#Trump2020LandslideVictory 
<U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>
#4MoreYears 
#BlueLivesMatter
#BlackLivesMatte
#AllLivesMatter
#JobsMatter
#YouMatter
#UnbornLivesMatter
#EconomyMatters
#DoctorsMatter
#YourVoteMatters  
#RedWave
#RedWave2020 
RED WAVE IS COMING!! https://t.co/6r9g3RBmys",TRUE,"PJStrikeForce","PJStrikeForce",FALSE,423,FALSE,FALSE,
"Lesleykupah","@realDonaldTrump These words of comfort were also important to the black families and America at large  when yr cops killed and shot  at Blacks.  #BlueLivesMatter",FALSE,"realDonaldTrump",,,191,FALSE,FALSE,
"Stan_Fischer","Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS @FLOTUS and all Patriots!

#400ElectoralVotes #DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A https://t.co/CEvxE8GXLW",TRUE,"2whltrvlr POTUS FLOTUS","2whltrvlr",FALSE,4512,FALSE,FALSE,
"JacksonCamp99","BREAKING:

“Protestors” blocked the ER entrance for 2 LA Officers who were critically shot by a coward....

They were chanting “we hope they die” while attempting to prevent them from getting life saving treatment?!

This is EVIL! This MUST BE ENDED!

RT! 

#BlueLivesMatter",TRUE,"GrahamAllen_1","GrahamAllen_1",TRUE,394,FALSE,FALSE,
"2whltrvlr","Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS @FLOTUS and all Patriots!

#400ElectoralVotes #DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A https://t.co/9ohUv01y4b",FALSE,"POTUS FLOTUS",,,2416,FALSE,FALSE,
"2whltrvlr","Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS @FLOTUS and all Patriots!

#400ElectoralVotes #DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A https://t.co/NimXAlebU3",FALSE,"POTUS FLOTUS",,,2416,FALSE,FALSE,
"2whltrvlr","Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS @FLOTUS and all Patriots!

#400ElectoralVotes #DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A https://t.co/CEvxE8GXLW",FALSE,"POTUS FLOTUS",,,2416,FALSE,FALSE,
